record_id,record_type,document_group,field_name,expected_value,generated_value
D00004,type_b,group_c,value_type,variable,variable
D00004,type_b,group_c,price_value,107.92 CODE_D,107.92 CODE_D
D00004,type_b,group_c,derived_amount,0.37 CODE_D,0.3810
D00004,type_b,group_c,total_value,"2,445,967","2,445,967"
D00004,type_b,group_c,direction_label,inbound,inbound
D00004,type_b,group_c,entity_name,BNP Paribas S.A.,bnp paribas s.a.
D00005,type_b,group_b,primary_date,18/05/2025,18/5/2025
D00005,type_b,group_b,amount_value,"CODE_B 3,492,388.41","CODE_B 3,492,388.41"
D00005,type_b,group_b,completion_date,21/05/2025,21/05/2025
D00005,type_b,group_b,end_date,05/04/2030,05/04/2030
D00005,type_b,group_b,category_code,CODE_B,CODE_B
D00005,type_b,group_b,type_aondary_date,11/8/2025,11/8/2025
D00005,type_b,group_b,start_date,07/03/2025,07/03/2025
D00005,type_b,group_b,effective_date,21/05/2025,21/5/2025
D00005,type_b,group_b,rate_value,RATE 5.900%,RATE 5.900%
D00005,type_b,group_b,rate_frequency,periodic_q,periodic_m
D00005,type_b,group_b,rule_type,rule_basis_b,rule_basis_b
D00005,type_b,group_b,adjustment_rule,adjusted_prev,unknown
D00005,type_b,group_b,reference_code,REF_A,  ref_a  
D00005,type_b,group_b,delta_value,164.36,164.36
D00005,type_b,group_b,value_type,variable,static
D00005,type_b,group_b,price_value,100.1069,100.1069
D00005,type_b,group_b,derived_amount,0.16 CODE_B,0.16 CODE_B
D00005,type_b,group_b,total_value,"3,496,120.27 CODE_B",3496120.27 CODE_B
D00005,type_b,group_b,direction_label,inbound,inbound
D00005,type_b,group_b,entity_name,JPMorgan Chase & Co.,JPMorgan Chase & Co.
D00006,type_a,group_c,primary_date,13/7/2024,13/7/2024
D00006,type_a,group_c,amount_value,"1,093,721","1,093,721"
D00006,type_a,group_c,completion_date,16/07/2024,16/07/2024
D00006,type_a,group_c,end_date,27/01/2027,27/01/2027
D00006,type_a,group_c,category_code,CODE_A,code_a
D00006,type_a,group_c,type_aondary_date,NO_DATA_FOUND,NO_DATA_FOUND
D00006,type_a,group_c,start_date,15/04/2024,15/4/2024
D00006,type_a,group_c,effective_date,14/07/2024,14/07/2024
D00006,type_a,group_c,rate_value,2.1727%,2.1727%
D00006,type_a,group_c,rate_frequency,annual,annual
D00006,type_a,group_c,rule_type,rule_basis_b,act|36O
D00006,type_a,group_c,adjustment_rule,following,following
D00006,type_a,group_c,reference_code,REF_A,unknown
D00006,type_a,group_c,delta_value,65.09,0.2500
D00006,type_a,group_c,value_type,variable,variable
D00006,type_a,group_c,price_value,95.1055,95.1055
D00006,type_a,group_c,derived_amount,0.0000,0.0000
D00006,type_a,group_c,total_value,1040188.8900,1040188.8900
D00006,type_a,group_c,direction_label,inbound,outbound
D00006,type_a,group_c,entity_name,BNP Paribas S.A.,unknown
D00007,type_a,group_b,primary_date,11/10/2025,11/10/2025
D00007,type_a,group_b,amount_value,"1,786,666.35",1786666.35
D00007,type_a,group_b,completion_date,13/10/2025,17/10/2025
D00007,type_a,group_b,end_date,2/12/2031,2/12/2031
D00007,type_a,group_b,category_code,CODE_C,CODE_D
D00007,type_a,group_b,type_aondary_date,25/11/2025,25/11/2025
D00007,type_a,group_b,start_date,21/05/2025,05/21/2025
D00007,type_a,group_b,effective_date,17/10/2025,17/10/2025
D00007,type_a,group_b,rate_value,7.6074%,7.6074%
D00007,type_a,group_b,rate_frequency,periodic_s,unknown
D00007,type_a,group_b,rule_type,rule_basis_a,rule_basis_a
D00007,type_a,group_b,adjustment_rule,following,unknown
D00007,type_a,group_b,reference_code,REF_A,REF_A
D00007,type_a,group_b,delta_value,114.40,114.40
D00007,type_a,group_b,value_type,variable,static
D00007,type_a,group_b,price_value,111.23,III.23
D00007,type_a,group_b,derived_amount,0.36,0.36
D00007,type_a,group_b,total_value,"1,987,316",1987316
D00007,type_a,group_b,direction_label,outbound,outbound
D00007,type_a,group_b,entity_name,N/A,hallucinated value
D00008,type_b,group_a,primary_date,15/02/2024,15/02/2024
D00008,type_b,group_a,amount_value,"3,896,596.35 CODE_C","3,896,596.35 CODE_C"
D00008,type_b,group_a,completion_date,17/02/2024,17/02/2024
D00008,type_b,group_a,end_date,28/10/2030,28/10/2030
D00008,type_b,group_a,category_code,CODE_C,CODE_C
D00008,type_b,group_a,type_aondary_date,5/4/2024,5/4/2024
D00008,type_b,group_a,start_date,11/01/2024,11/01/2024
D00008,type_b,group_a,effective_date,20/02/2024,20/02/2024
D00008,type_b,group_a,rate_value,4.84 %,4.84 %
D00008,type_b,group_a,rate_frequency,periodic_s,unknown
D00008,type_b,group_a,rule_type,rule_basis_b,unknown
D00008,type_b,group_a,adjustment_rule,adjusted_next,adjusted_next
D00008,type_b,group_a,reference_code,N/A,N/A
D00008,type_b,group_a,delta_value,N/A,NULL
D00008,type_b,group_a,value_type,static,static
D00008,type_b,group_a,price_value,,NO_DATA_FOUND
D00008,type_b,group_a,derived_amount,0.00,0.00
D00008,type_b,group_a,total_value,"3,997,137",4096139.8853
D00008,type_b,group_a,direction_label,outbound,outbound
D00008,type_b,group_a,entity_name,Barclays Bank PLC,unknown
D00009,type_b,group_a,primary_date,12/11/2025,12/11/2025
D00009,type_b,group_a,amount_value,"CODE_A 644,343.55",CODE_A 644343.55
D00009,type_b,group_a,completion_date,15/11/2025,15/11/2025
D00009,type_b,group_a,end_date,25/08/2035,25/08/2035
D00009,type_b,group_a,category_code,CODE_A,CODE_A
D00009,type_b,group_a,type_aondary_date,18/12/2025,18/12/2025
D00009,type_b,group_a,start_date,2/7/2025,2/7/2025
D00009,type_b,group_a,effective_date,12/11/2025,12/11/2025
D00009,type_b,group_a,rate_value,5.7603%,5.8307
D00009,type_b,group_a,rate_frequency,periodic_m,periodic_m
D00009,type_b,group_a,rule_type,rule_basis_b,rule_basis_b
D00009,type_b,group_a,adjustment_rule,,hallucinated value
D00009,type_b,group_a,reference_code,,hallucinated value
D00009,type_b,group_a,delta_value,N/A,N/A
D00009,type_b,group_a,value_type,static,  static  
D00009,type_b,group_a,price_value,NULL,N/A
D00009,type_b,group_a,derived_amount,1,1.0079
D00009,type_b,group_a,total_value,"612,336","612,336"
D00009,type_b,group_a,direction_label,outbound,inbound
D00009,type_b,group_a,entity_name,Morgan Stanley,Morgan Stanley
D00010,type_b,group_c,primary_date,29/11/2025,29/11/2025
D00010,type_b,group_c,amount_value,"CODE_A 1,470,076.19","CODE_A 1,470,076.19"
D00010,type_b,group_c,completion_date,1/12/2025,1/12/2025
D00010,type_b,group_c,end_date,23/01/2034,23/01/2034
D00010,type_b,group_c,category_code,NULL,N/A
D00010,type_b,group_c,type_aondary_date,NULL,N/A
D00010,type_b,group_c,start_date,NO_DATA_FOUND,04/02/2026
D00010,type_b,group_c,effective_date,01/12/2025,1/12/2025
D00010,type_b,group_c,rate_value,3.8818%,3.8818%
D00010,type_b,group_c,rate_frequency,periodic_q,periodic_m
D00010,type_b,group_c,rule_type,rule_basis_a,30|360
D00010,type_b,group_c,adjustment_rule,adjusted_next,adjusted_next
D00010,type_b,group_c,reference_code,NULL,NO_DATA_FOUND
D00010,type_b,group_c,delta_value,,NULL
D00010,type_b,group_c,value_type,static,variable
D00010,type_b,group_c,price_value,$106.07,107.7435
D00010,type_b,group_c,derived_amount,0.3670,BAD_VALUE
D00010,type_b,group_c,total_value,"CODE_A 1,559,298.96",1569427.5555
D00010,type_b,group_c,direction_label,outbound,inbound
D00010,type_b,group_c,entity_name,Deutsche Bank AG,Deutsche Bank AG
D00011,type_b,group_c,primary_date,02/02/2024,02/02/2024
D00011,type_b,group_c,amount_value,"3,345,186",3345186
D00011,type_b,group_c,completion_date,03/02/2024,02/03/2024
D00011,type_b,group_c,end_date,23/07/2032,07/23/2032
D00011,type_b,group_c,category_code,CODE_D,code_d
D00011,type_b,group_c,type_aondary_date,20/02/2024,3/3/2024
D00011,type_b,group_c,start_date,25/09/2023,25/09/2023
D00011,type_b,group_c,effective_date,5/2/2024,5/2/2024
D00011,type_b,group_c,rate_value,0.001000,0.001000
D00011,type_b,group_c,rate_frequency,periodic_q,periodic_m
D00011,type_b,group_c,rule_type,N/A,hallucinated value
D00011,type_b,group_c,adjustment_rule,adjusted_prev,adjusted_prev
D00011,type_b,group_c,reference_code,REF_A,REF_A
D00011,type_b,group_c,delta_value,100.95,100.95
D00011,type_b,group_c,value_type,variable,static
D00011,type_b,group_c,price_value,CODE_D 108.64,109.6590
D00011,type_b,group_c,derived_amount,0.66 CODE_D,0.66 CODE_D
D00011,type_b,group_c,total_value,"CODE_D 3,634,266.00",3668460.4069
D00011,type_b,group_c,direction_label,outbound,outbound
D00011,type_b,group_c,entity_name,BNP Paribas S.A.,BNP Paribas S.A.
D00012,type_a,group_c,primary_date,23/11/2024,23/11/2024
D00012,type_a,group_c,amount_value,"779,941",789618.1108
D00012,type_a,group_c,completion_date,25/11/2024,7/12/2024
D00012,type_a,group_c,end_date,17/01/2030,25/01/2030
D00012,type_a,group_c,category_code,CODE_A,code_a
D00012,type_a,group_c,type_aondary_date,03/02/2025,2026-01-01
D00012,type_a,group_c,start_date,2/7/2024,2/7/2024
D00012,type_a,group_c,effective_date,25/11/2024,25/11/2024
D00012,type_a,group_c,rate_value,5.6238%,5.7098
D00012,type_a,group_c,rate_frequency,periodic_q,periodic_q
D00012,type_a,group_c,rule_type,rule_basis_a,unknown
D00012,type_a,group_c,adjustment_rule,adjusted_prev,adjusted_prev
D00012,type_a,group_c,reference_code,NO_DATA_FOUND,
D00012,type_a,group_c,delta_value,N/A,999999.99
D00012,type_a,group_c,value_type,static,static
D00012,type_a,group_c,price_value,111.85,111.85
D00012,type_a,group_c,derived_amount,0,0
D00012,type_a,group_c,total_value,"872,384",891532.2149
D00012,type_a,group_c,direction_label,outbound,inbound
D00012,type_a,group_c,entity_name,JPMorgan Chase & Co.,unknown
D00013,type_b,group_c,primary_date,28/07/2025,28/7/2025
D00013,type_b,group_c,amount_value,1991466.5343,1991466.5343
D00013,type_b,group_c,completion_date,29/07/2025,29/7/2025
D00013,type_b,group_c,end_date,16/04/2030,16/04/2030
D00013,type_b,group_c,category_code,CODE_A,CODE_A
D00013,type_b,group_c,type_aondary_date,25/09/2025,26/9/2025
D00013,type_b,group_c,start_date,03/07/2025,3/7/2025
D00013,type_b,group_c,effective_date,N/A,NULL
D00013,type_b,group_c,rate_value,4.8291%,4.9073
D00013,type_b,group_c,rate_frequency,periodic_q,periodic_q
D00013,type_b,group_c,rule_type,NULL,N/A
D00013,type_b,group_c,adjustment_rule,adjusted_next,unknown
D00013,type_b,group_c,reference_code,REF_A,REF_A
D00013,type_b,group_c,delta_value,76.44,  76.44  
D00013,type_b,group_c,value_type,variable,variable
D00013,type_b,group_c,price_value,$90.11,$90.11
D00013,type_b,group_c,derived_amount,NO_DATA_FOUND,NULL
D00013,type_b,group_c,total_value,"$1,794,505.01",1813208.9618
D00013,type_b,group_c,direction_label,NO_DATA_FOUND,NULL
D00013,type_b,group_c,entity_name,,NULL
D00014,type_b,group_a,primary_date,02/05/2024,02/05/2024
D00014,type_b,group_a,amount_value,347308.0509,347308.0509
D00014,type_b,group_a,completion_date,04/05/2024,04/05/2024
D00014,type_b,group_a,end_date,17/01/2029,17/01/2029
D00014,type_b,group_a,category_code,CODE_A,CODE_A
D00014,type_b,group_a,type_aondary_date,04/06/2024,4/6/2024
D00014,type_b,group_a,start_date,4/1/2024,4/1/2024
D00014,type_b,group_a,effective_date,04/05/2024,4/5/2024
D00014,type_b,group_a,rate_value,RATE 4.440%,RATE 4.440%
D00014,type_b,group_a,rate_frequency,periodic_q,periodic_q
D00014,type_b,group_a,rule_type,rule_basis_b,act/36O
D00014,type_b,group_a,adjustment_rule,adjusted_next,adjusted_next
D00014,type_b,group_a,reference_code,EURIBOR,unknown
D00014,type_b,group_a,delta_value,92.27,92.7592
D00014,type_b,group_a,value_type,variable,static
D00014,type_b,group_a,price_value,,N/A
D00014,type_b,group_a,derived_amount,$0.35,$0.35
D00014,type_b,group_a,total_value,"$352,319.44",355620.7382
D00014,type_b,group_a,direction_label,outbound,outbound
D00014,type_b,group_a,entity_name,Entity Beta LLC,Entity Beta LLC
D00015,type_b,group_b,primary_date,15/08/2024,15/8/2024
D00015,type_b,group_b,amount_value,"1,391,300.74 CODE_D","1,391,300.74 CODE_D"
D00015,type_b,group_b,completion_date,18/8/2024,18/8/2024
D00015,type_b,group_b,end_date,08/03/2028,8/3/2028
D00015,type_b,group_b,category_code,CODE_D,CODE_D
D00015,type_b,group_b,type_aondary_date,NULL,N/A
D00015,type_b,group_b,start_date,30/03/2024,03/30/2024
D00015,type_b,group_b,effective_date,15/08/2024,15/08/2024
D00015,type_b,group_b,rate_value,4.0937%,4.0937%
D00015,type_b,group_b,rate_frequency,periodic_s,periodic_s
D00015,type_b,group_b,rule_type,rule_basis_a,rule_basis_a
D00015,type_b,group_b,adjustment_rule,adjusted_next,adjusted_next
D00015,type_b,group_b,reference_code,N/A,NULL
D00015,type_b,group_b,delta_value,,NULL
D00015,type_b,group_b,value_type,NO_DATA_FOUND,N/A
D00015,type_b,group_b,price_value,CODE_D 100.79,CODE_D 100.79
D00015,type_b,group_b,derived_amount,0.19,0.19
D00015,type_b,group_b,total_value,1402235.4931,1402235.4931
D00015,type_b,group_b,direction_label,outbound,outbound
D00015,type_b,group_b,entity_name,Morgan Stanley,Morgan Stanley
D00016,type_a,group_c,primary_date,24/06/2024,24/06/2024
D00016,type_a,group_c,amount_value,"1,224,425","1,224,425"
D00016,type_a,group_c,completion_date,25/06/2024,25/06/2024
D00016,type_a,group_c,end_date,17/05/2032,17/5/2032
D00016,type_a,group_c,category_code,CODE_A,CODE_B
D00016,type_a,group_c,type_aondary_date,30/08/2024,30/08/2024
D00016,type_a,group_c,start_date,2/4/2024,2/4/2024
D00016,type_a,group_c,effective_date,24/6/2024,24/6/2024
D00016,type_a,group_c,rate_value,0.030759,0.0315
D00016,type_a,group_c,rate_frequency,periodic_q,periodic_m
D00016,type_a,group_c,rule_type,ACT/365,act/365
D00016,type_a,group_c,adjustment_rule,adjusted_next,unknown
D00016,type_a,group_c,reference_code,NULL,
D00016,type_a,group_c,delta_value,204.05,0.2500
D00016,type_a,group_c,value_type,variable,variable
D00016,type_a,group_c,price_value,104.4312,104.4312
D00016,type_a,group_c,derived_amount,0.28,0.2863
D00016,type_a,group_c,total_value,"1,278,682","1,278,682"
D00016,type_a,group_c,direction_label,inbound,inbound
D00016,type_a,group_c,entity_name,,NULL
D00017,type_b,group_a,primary_date,N/A,
D00017,type_b,group_a,amount_value,1116609.7917,1116609.7917
D00017,type_b,group_a,completion_date,21/04/2025,21/4/2025
D00017,type_b,group_a,end_date,19/08/2032,19/08/2032
D00017,type_b,group_a,category_code,CODE_A,CODE_A
D00017,type_b,group_a,type_aondary_date,23/05/2025,23/05/2025
D00017,type_b,group_a,start_date,10/02/2025,10/02/2025
D00017,type_b,group_a,effective_date,22/04/2025,22/4/2025
D00017,type_b,group_a,rate_value,RATE 5.085%,RATE 5.085%
D00017,type_b,group_a,rate_frequency,periodic_s,periodic_s
D00017,type_b,group_a,rule_type,rule_basis_a,rule_basis_a
D00017,type_b,group_a,adjustment_rule,following,following
D00017,type_b,group_a,reference_code,REF_B,ref_b
D00017,type_b,group_a,delta_value,82.77,82.77
D00017,type_b,group_a,value_type,NO_DATA_FOUND,N/A
D00017,type_b,group_a,price_value,NO_DATA_FOUND,999999.99
D00017,type_b,group_a,derived_amount,$0.59,$0.59
D00017,type_b,group_a,total_value,"1,021,005.86",1021005.86
D00017,type_b,group_a,direction_label,outbound,  outbound  
D00017,type_b,group_a,entity_name,Entity Alpha LLC,  entity alpha llc  
D00018,type_b,group_b,primary_date,N/A,N/A
D00018,type_b,group_b,amount_value,351848.4040,351848.4040
D00018,type_b,group_b,completion_date,16/2/2024,16/2/2024
D00018,type_b,group_b,end_date,14/01/2033,14/01/2033
D00018,type_b,group_b,category_code,CODE_A,CODE_A
D00018,type_b,group_b,type_aondary_date,11/04/2024,11/4/2024
D00018,type_b,group_b,start_date,05/09/2023,05/09/2023
D00018,type_b,group_b,effective_date,18/02/2024,18/02/2024
D00018,type_b,group_b,rate_value,4.72 %,4.72 %
D00018,type_b,group_b,rate_frequency,annual,annual
D00018,type_b,group_b,rule_type,rule_basis_b,rule_basis_b
D00018,type_b,group_b,adjustment_rule,adjusted_next,adjusted_next
D00018,type_b,group_b,reference_code,REF_A,ref_a
D00018,type_b,group_b,delta_value,66.75,66.75
D00018,type_b,group_b,value_type,variable,variable
D00018,type_b,group_b,price_value,104.04,104.04
D00018,type_b,group_b,derived_amount,CODE_A 0.00,CODE_A 0.00
D00018,type_b,group_b,total_value,"366,048.37",368107.7600
D00018,type_b,group_b,direction_label,NULL,
D00018,type_b,group_b,entity_name,HSBC Holdings plc,hsbc holdings plc
D00019,type_b,group_b,primary_date,09/07/2024,9/7/2024
D00019,type_b,group_b,amount_value,"7,379,033.45 CODE_C","7,379,033.45 CODE_C"
D00019,type_b,group_b,completion_date,12/07/2024,12/7/2024
D00019,type_b,group_b,end_date,22/11/2033,22/11/2033
D00019,type_b,group_b,category_code,CODE_C,code_c
D00019,type_b,group_b,type_aondary_date,29/07/2024,16/08/2024
D00019,type_b,group_b,start_date,14/02/2024,14/02/2024
D00019,type_b,group_b,effective_date,15/07/2024,15/07/2024
D00019,type_b,group_b,rate_value,5.31 %,5.31 %
D00019,type_b,group_b,rate_frequency,periodic_s,periodic_s
D00019,type_b,group_b,rule_type,rule_basis_a,rule_basis_a
D00019,type_b,group_b,adjustment_rule,following,following
D00019,type_b,group_b,reference_code,NO_DATA_FOUND,NO_DATA_FOUND
D00019,type_b,group_b,delta_value,NULL,999999.99
D00019,type_b,group_b,value_type,static,static
D00019,type_b,group_b,price_value,CODE_C 96.55,97.4331
D00019,type_b,group_b,derived_amount,CODE_C 0.64,0.6494
D00019,type_b,group_b,total_value,"7,124,317.21 CODE_C","7,124,317.21 CODE_C"
D00019,type_b,group_b,direction_label,inbound,outbound
D00019,type_b,group_b,entity_name,Deutsche Bank AG,Deutsche Bank AG
D00020,type_b,group_a,primary_date,13/10/2025,13/10/2025
D00020,type_b,group_a,amount_value,"10,509,387",10509387
D00020,type_b,group_a,completion_date,NO_DATA_FOUND,NULL
D00020,type_b,group_a,end_date,12/06/2033,12/06/2033
D00020,type_b,group_a,category_code,CODE_A,code_a
D00020,type_b,group_a,type_aondary_date,NULL,N/A
D00020,type_b,group_a,start_date,5/9/2025,5/9/2025
D00020,type_b,group_a,effective_date,14/10/2025,14/10/2025
D00020,type_b,group_a,rate_value,RATE 4.141%,RATE 4.141%
D00020,type_b,group_a,rate_frequency,periodic_s,periodic_s
D00020,type_b,group_a,rule_type,rule_basis_a,rule_basis_a
D00020,type_b,group_a,adjustment_rule,following,following
D00020,type_b,group_a,reference_code,NO_DATA_FOUND,
D00020,type_b,group_a,delta_value,NO_DATA_FOUND,N/A
D00020,type_b,group_a,value_type,static,static
D00020,type_b,group_a,price_value,97.01,97.01
D00020,type_b,group_a,derived_amount,$0.47,$0.47
D00020,type_b,group_a,total_value,10195547.4906,10195547.4906
D00020,type_b,group_a,direction_label,outbound,outbound
D00020,type_b,group_a,entity_name,Entity Beta LLC,Entity Beta LLC
D00021,type_b,group_a,primary_date,01/06/2024,1/6/2024
D00021,type_b,group_a,amount_value,"$3,302,314.78","$3,302,314.78"
D00021,type_b,group_a,completion_date,3/6/2024,14/6/2024
D00021,type_b,group_a,end_date,24/02/2029,24/2/2029
D00021,type_b,group_a,category_code,CODE_A,code_a
D00021,type_b,group_a,type_aondary_date,18/08/2024,18/08/2024
D00021,type_b,group_a,start_date,05/05/2024,16/5/2024
D00021,type_b,group_a,effective_date,,NO_DATA_FOUND
D00021,type_b,group_a,rate_value,0.039534,0.039534
D00021,type_b,group_a,rate_frequency,annual,annual
D00021,type_b,group_a,rule_type,rule_basis_a,unknown
D00021,type_b,group_a,adjustment_rule,adjusted_next,adjusted_next
D00021,type_b,group_a,reference_code,NULL,NO_DATA_FOUND
D00021,type_b,group_a,delta_value,,999999.99
D00021,type_b,group_a,value_type,static,  static  
D00021,type_b,group_a,price_value,CODE_A 91.54,93.4942
D00021,type_b,group_a,derived_amount,0.19,0.19
D00021,type_b,group_a,total_value,N/A,NULL
D00021,type_b,group_a,direction_label,inbound,inbound
D00021,type_b,group_a,entity_name,JPMorgan Chase & Co.,jpmorgan chase & co.
D00022,type_a,group_a,primary_date,31/07/2025,31/07/2025
D00022,type_a,group_a,amount_value,"3,814,304","3,814,304"
D00022,type_a,group_a,completion_date,02/08/2025,08/02/2025
D00022,type_a,group_a,end_date,24/11/2031,24/11/2031
D00022,type_a,group_a,category_code,CODE_A,CODE_A
D00022,type_a,group_a,type_aondary_date,22/09/2025,22/09/2025
D00022,type_a,group_a,start_date,12/03/2025,12/3/2025
D00022,type_a,group_a,effective_date,04/08/2025,04/08/2025
D00022,type_a,group_a,rate_value,NULL,N/A
D00022,type_a,group_a,rate_frequency,periodic_q,periodic_q
D00022,type_a,group_a,rule_type,ACT/365,act/365
D00022,type_a,group_a,adjustment_rule,adjusted_next,unknown
D00022,type_a,group_a,reference_code,REF_A,ref_a
D00022,type_a,group_a,delta_value,165.29,165.29
D00022,type_a,group_a,value_type,variable,variable
D00022,type_a,group_a,price_value,104,104
D00022,type_a,group_a,derived_amount,0.6423,0.6471
D00022,type_a,group_a,total_value,3972833.5455,3972833.5455
D00022,type_a,group_a,direction_label,outbound,inbound
D00022,type_a,group_a,entity_name,JPMorgan Chase & Co.,JPMorgan Chase & Co.
D00023,type_b,group_a,primary_date,18/12/2024,18/12/2024
D00023,type_b,group_a,amount_value,NULL,NULL
D00023,type_b,group_a,completion_date,19/12/2024,19/12/2024
D00023,type_b,group_a,end_date,17/08/2033,17/8/2033
D00023,type_b,group_a,category_code,,NULL
D00023,type_b,group_a,type_aondary_date,30/12/2024,30/12/2024
D00023,type_b,group_a,start_date,01/12/2024,2026-01-01
D00023,type_b,group_a,effective_date,18/12/2024,18/12/2024
D00023,type_b,group_a,rate_value,0.072393,0.072393
D00023,type_b,group_a,rate_frequency,annual,  annual  
D00023,type_b,group_a,rule_type,ACT/365,ACT/365
D00023,type_b,group_a,adjustment_rule,following,following
D00023,type_b,group_a,reference_code,N/A,NO_DATA_FOUND
D00023,type_b,group_a,delta_value,NO_DATA_FOUND,999999.99
D00023,type_b,group_a,value_type,static,static
D00023,type_b,group_a,price_value,105.42,105.42
D00023,type_b,group_a,derived_amount,0.15,0.15
D00023,type_b,group_a,total_value,"1,355,339.17 CODE_C","1,355,339.17 CODE_C"
D00023,type_b,group_a,direction_label,NULL,
D00023,type_b,group_a,entity_name,JPMorgan Chase & Co.,jpmorgan chase & co.
D00024,type_b,group_b,primary_date,NULL,NULL
D00024,type_b,group_b,amount_value,"$4,626,848.74",$4626848.74
D00024,type_b,group_b,completion_date,11/1/2024,11/1/2024
D00024,type_b,group_b,end_date,20/08/2033,20/8/2033
D00024,type_b,group_b,category_code,CODE_A,CODE_A
D00024,type_b,group_b,type_aondary_date,28/02/2024,28/02/2024
D00024,type_b,group_b,start_date,28/10/2023,28/10/2023
D00024,type_b,group_b,effective_date,13/01/2024,13/1/2024
D00024,type_b,group_b,rate_value,0.067648,0.067648
